battery,discharge_cycle_number,capacity_ah,Re,Rct
B0005,1,1.8564874208181572,0.0466870016248693,0.0762747409853058
B0005,2,1.846327249719927,0.044843430573346,0.0679720560130687
B0005,3,1.835349194223408,0.04510114851143,0.0685283289600032
B0005,4,1.8352625275821128,0.0441720755771717,0.0680444951699617
B0005,5,1.8346455082120416,0.0452171085992494,0.0746477840841336
B0005,6,1.8356616600675493,0.0449099454136579,0.0739568760325419
B0005,7,1.8351461429226603,0.0471704408693174,0.072081121644792
B0005,8,1.8257567905665535,0.0435587857754753,0.0686823765587221
B0005,9,1.8247738529891333,0.0452654781826178,0.0681437253042456
B0005,10,1.824613268496936,0.0444837157774346,0.0678255571971684
B0005,11,1.8246195526864504,0.0448279130020564,0.072888269527583
B0005,12,1.814201935767392,0.0446645067989457,0.0727868237536811
B0005,13,1.8137521577549052,0.045021352455558,0.0694040818553967
B0005,14,1.8134404914735824,0.0461064656426378,0.0704108330775636
B0005,15,1.8025980036306504,0.0476673249976311,0.0687014202685642
B0005,16,1.80210690024615,0.0477238545111998,0.0695041754421432
B0005,17,1.802579500826209,0.0469402296332379,0.069661211991841
B0005,18,1.8030683142834096,0.0470279824320801,0.0711294674960708
B0005,19,1.802777624719604,0.0467288723388305,0.0697112997292194
B0005,20,1.8470259949329195,0.046916225196282,0.0691334355475146
B0005,21,1.847417311283644,0.046604793185003,0.068522152288229
B0005,22,1.8361774213478947,0.046245370477528,0.0719248993978976
B0005,23,1.825780747577624,0.0461861033675123,0.0719378705603448
B0005,24,1.8251136435078368,0.0477373701431311,0.0703395836124857
B0005,25,1.825581504220376,0.0494274834363881,0.0695498357572787
B0005,26,1.814031127508391,0.0474784168879776,0.064882971709559
B0005,27,1.8147691941158937,0.047703621105183,0.0685981303777479
B0005,28,1.813969388710352,0.0480869600733819,0.0697134641311117
B0005,29,1.802765665167823,0.0475472817403881,0.073180098911682
B0005,30,1.804077040117352,0.0476409209894885,0.0716524732655295
B0005,31,1.8518025516704488,0.0476402406175778,0.0689827792391044
B0005,32,1.8307038456739428,0.0489338618553407,0.0679599018011362
B0005,33,1.8199041089501269,0.0493230071767182,0.068956429145285
B0005,34,1.809307963702852,0.0497482254301438,0.0711299384497784
B0005,35,1.80460990458052,0.0498848659447539,0.0719830276512561
B0005,36,1.7993770651972192,0.0492163809321789,0.0714637439793728
B0005,37,1.7884432335370462,0.0488722901342319,0.0687680915386681
B0005,38,1.7829230484252725,0.0482964391953501,0.0673151471016695
B0005,39,1.7730337158018288,0.0481470922660249,0.0684158918231915
B0005,40,1.773037755078937,0.0502293760251405,0.0718319241428618
B0005,41,1.7678721106662054,0.0497152666250807,0.0713902715439566
B0005,42,1.762315070409309,0.0486802529332838,0.0658344484636432
B0005,43,1.7676172924938447,0.0499187289835067,0.0687646330950239
B0005,44,1.762668359743147,0.0494366495395998,0.0689230088556077
B0005,45,1.7517304870664143,0.0495063161655938,0.07251082944035
B0005,46,1.7418496047960008,0.0486517627795967,0.0720176209117095
B0005,47,1.7360913511847138,0.0491657556837128,0.0731699361800272
B0005,48,1.7936240148573608,0.0487016128372702,0.0685945550745758
B0005,49,1.7831890223273277,0.0488567734576694,0.0687157076798943
B0005,50,1.7673642076278957,0.0506497585783765,0.0685353610479945
B0005,51,1.7570177850353066,0.0501188147421075,0.0730104108966134
B0005,52,1.7468706179837907,0.0497925673190261,0.073436503616202
B0005,53,1.7417172507457144,0.0498653780666,0.0732133898164959
B0005,54,1.7364225056478186,0.0489212903564022,0.0688393136276158
B0005,55,1.7263217239235826,0.0497512574980347,0.0686389241999605
B0005,56,1.7158065389330133,0.0491591819629816,0.0690673447997324
B0005,57,1.710533351135192,0.0500230742033395,0.0736638387977965
B0005,58,1.706014499648521,0.0502046904378658,0.0737188582159762
B0005,59,1.7003110272642588,0.0497585734077315,0.0746561776087558
B0005,60,1.6945798601797897,0.0498083962553727,0.069022987629394
B0005,61,1.6849029086609286,0.0505941138997434,0.0685832846047841
B0005,62,1.6744741591159715,0.0498442104120108,0.0701407010789011
B0005,63,1.6745692479879102,0.0502825642512583,0.0736039114233682
B0005,64,1.663716375981405,0.0499200778190466,0.074642062777058
B0005,65,1.659013868748246,0.0500799643501363,0.0754771092928152
B0005,66,1.6538540573335014,0.0546921850263593,0.0746459936002273
B0005,67,1.642653782130131,0.0541567528107865,0.0750584366774359
B0005,68,1.6378578430223698,0.0545428097805622,0.0759237919999139
B0005,69,1.6327350407099108,0.0550803683287425,0.0804500816192199
B0005,70,1.6277528915533617,0.0548457849434252,0.0809952791439065
B0005,71,1.622125485521159,0.0554532594769747,0.0748392292244765
B0005,72,1.6113256603765849,0.0570384986405566,0.0744541940566049
B0005,73,1.6065631397488385,0.0569517725026997,0.0770693559626086
B0005,74,1.6015142233917594,0.0571591479145079,0.0808669662369406
B0005,75,1.590369231400328,0.0569987938629429,0.0825010076441602
B0005,76,1.5857889968242211,0.057915946777513,0.0817505708315127
B0005,77,1.5849430707374117,0.0570007691806397,0.0774112451988569
B0005,78,1.5955263892495937,0.0572825654297649,0.0769202772121568
B0005,79,1.5747301747801037,0.0589529203196688,0.0773517020399742
B0005,80,1.5649019950937946,0.0566720346295509,0.0829157329641766
B0005,81,1.5597659473370362,0.0577983771069902,0.0751897173316691
B0005,82,1.5594815668184234,0.0581005359089264,0.0760463990238758
B0005,83,1.55468935359061,0.0568735509905479,0.080792347724638
B0005,84,1.5488741079890418,0.0584012267602933,0.0816166339541188
B0005,85,1.538236598942558,0.0571392616497832,0.0820304274361046
B0005,86,1.527914258251028,0.0570119156613033,0.077937531010241
B0005,87,1.5285252629756445,0.0573916045757455,0.0773208301126552
B0005,88,1.522647325284378,0.0566940115944566,0.0775632251844298
B0005,89,1.5174859938489869,0.0578764894862572,0.0827621596207595
B0005,90,1.605818899130659,0.0571060525925708,0.0838933915955351
B0005,91,1.5638491446744425,0.0583244011522277,0.0823356083860003
B0005,92,1.5480915247767786,0.057206589538471,0.0781418167018895
B0005,93,1.5323755631868592,0.0568695950036647,0.0785197111729298
B0005,94,1.5269528268489705,0.0575892775490864,0.0785848385140241
