impedance_cycle_number,Re,Rct
1,0.06123359021000344,0.0785415394665875
2,0.06561684946388616,0.0886832084583472
3,0.06062991544979002,0.07802409378290423
4,0.0626250732462495,0.08533725531470857
5,0.0608598716542857,0.07840240203025303
6,0.062249571082343746,0.08440849663820382
7,0.06006450818180178,0.07807093382204865
8,0.062201023860373954,0.08437084638397113
9,0.05913130853407464,0.07795570757873038
10,0.06207350175489952,0.0838418603746595
11,0.06059698754511872,0.07938182566133384
12,0.06200595535926761,0.08243346882486241
13,0.0604355089729667,0.07949409294266127
14,0.06251817310661875,0.08413790663872997
15,0.0598822703747387,0.07871218357298479
16,0.060953270532872306,0.08269288603896705
17,0.06058721482266893,0.07989533922911993
18,0.06236564071812447,0.08389054593182355
19,0.06090836519034555,0.0797490751361702
20,0.0623876560738503,0.08427447476572261
21,0.060369152473069135,0.08014506815871338
22,0.06209144685667864,0.08164302964777198
23,0.06356536156604609,0.08150834385680611
24,0.06232003183337441,0.08021169162372531
25,0.06294168193775251,0.08199172562670037
26,0.06189122330035962,0.08120805787615462
27,0.0628654066217946,0.08144682676052387
28,0.06171642129064926,0.08150165216580176
29,0.06291524637705144,0.08277116642147596
30,0.06199878481176484,0.08138761044036787
31,0.06307762333013402,0.08287146905081498
32,0.06250406054880163,0.08169124692338582
33,0.0627995855607608,0.0818468337271938
34,0.06201388686472383,0.08131610081343171
35,0.06308360062643197,0.08264257683503572
36,0.06183019217410585,0.08120435160553863
37,0.06313290641362876,0.0837217579093773
38,0.06282694657880761,0.08347157844651079
39,0.06336352421336121,0.0837975537463188
40,0.06349817571333986,0.08385488671663242
41,0.06264078681571249,0.08299028292337617
42,0.060945139936148515,0.082015904986437
43,0.06395085325023771,0.0832684036551876
44,0.0639175801612165,0.08216571708748939
45,0.061914442984428886,0.0827944269463386
46,0.06223664045181756,0.08227519539898062
47,0.06368589032225634,0.08410980261203092
48,0.06203106446308808,0.08319177703888532
49,0.06394139531038306,0.08439590554803003
50,0.06250649038034015,0.08426848073493345
51,0.06334074841835481,0.08443325960211569
52,0.06261533272747599,0.0839721783477321
53,0.0659851482712769,0.08205908433058269
54,0.0645724621588098,0.08034229300933068
