battery,discharge_cycle_number,capacity_ah,Re,Rct
B0007,1,1.89105229539079,0.0423522002551147,0.0794620574429885
B0007,2,1.880637027686859,0.0397131229201359,0.0618065433968296
B0007,3,1.8806626717011388,0.0384014639910651,0.0610013038468072
B0007,4,1.8807709009833444,0.0371051772037323,0.0600756510818989
B0007,5,1.8794508728285055,0.0399295235052935,0.0775254899698734
B0007,6,1.8807003517117404,0.0408682807687173,0.0768386955289876
B0007,7,1.8799352523566075,0.0416986565608095,0.0720729677827527
B0007,8,1.88150881240388,0.0373972713715067,0.0612330724542185
B0007,9,1.8696907870385844,0.0359196800988642,0.0605706911170167
B0007,10,1.870052380139199,0.0373857989211497,0.0613173760292053
B0007,11,1.8700442394188577,0.0409105369508414,0.0697381318114343
B0007,12,1.8596518987766364,0.0400972488595749,0.0728814519781134
B0007,13,1.8590746560862208,0.0411920195586732,0.0684835665334699
B0007,14,1.8590084577709232,0.0410566964664513,0.070659971332503
B0007,15,1.8593622586957048,0.0411945977368719,0.0702209554283169
B0007,16,1.8587355450601035,0.0423270479862688,0.0641415094761317
B0007,17,1.847817291322145,0.0396728639829912,0.0633375503455221
B0007,18,1.8485252916137047,0.0404653672528573,0.0639722520595072
B0007,19,1.848378951850034,0.0409390182419528,0.066752230847743
B0007,20,1.8807805437609768,0.0410673635657293,0.0662850303940424
B0007,21,1.88147215974436,0.0416617088948181,0.0681635775867941
B0007,22,1.8810954313244783,0.0398173593963539,0.0644668961248353
B0007,23,1.8710089649779995,0.0387909877017732,0.0628098792567102
B0007,24,1.8701995151941373,0.0413584990216644,0.0640930962913017
B0007,25,1.8706715362800983,0.0406816138028831,0.0648020284566245
B0007,26,1.8596124644020169,0.0406917627667531,0.0640322479984789
B0007,27,1.860033909718346,0.0403611204287398,0.0635918173001047
B0007,28,1.8591653109160768,0.0397095688006817,0.0630831687308314
B0007,29,1.8481398178778288,0.0465886984598843,0.0693869640088942
B0007,30,1.849201702126164,0.0450589668472443,0.0692805173920436
B0007,31,1.8834677437950849,0.0458839732229062,0.0692600719668959
B0007,32,1.8628211117905844,0.0492214577894399,0.0713426382157518
B0007,33,1.852085039652352,0.0483951365393567,0.0713515950419545
